the_temp,humidity,visibility,air_pressure,wind_speed,datetime
20.365,46,12.93384137,1021.5,5.956247085,2022-03-18T07:34:22.546683Z
20.705,43,13.25540096,1019,7.505170367,2022-03-18T07:34:25.847160Z
18.64,47,13.07644606,1017,9.374158755,2022-03-18T07:34:28.660744Z
17.685,49,12.60109709,1014,9.380031336,2022-03-18T07:34:31.572793Z
16.32,44,11.78803289,1016.5,10.22994213,2022-03-18T07:34:34.549451Z
15.73,40,9.999726597,1020,6.294027082,2022-03-18T07:34:38.164853Z
